index,clusters
2005-01-03 00:00:00,0
2005-01-03 06:00:00,0
2005-01-03 12:00:00,0
2005-01-03 18:00:00,0
2005-01-04 00:00:00,1
2005-01-04 06:00:00,1
2005-01-04 12:00:00,1
2005-01-04 18:00:00,1
2005-01-05 00:00:00,2
2005-01-05 06:00:00,2
2005-01-05 12:00:00,2
2005-01-05 18:00:00,2
2005-01-06 00:00:00,3
2005-01-06 06:00:00,3
2005-01-06 12:00:00,3
2005-01-06 18:00:00,3
2005-01-07 00:00:00,4
2005-01-07 06:00:00,4
2005-01-07 12:00:00,4
2005-01-07 18:00:00,4
2005-01-10 00:00:00,5
2005-01-10 06:00:00,5
2005-01-10 12:00:00,5
2005-01-10 18:00:00,5
2005-01-11 00:00:00,6
2005-01-11 06:00:00,6
2005-01-11 12:00:00,6
2005-01-11 18:00:00,6
2005-01-12 00:00:00,7
2005-01-12 06:00:00,7
2005-01-12 12:00:00,7
2005-01-12 18:00:00,7
2005-01-13 00:00:00,8
2005-01-13 06:00:00,8
2005-01-13 12:00:00,8
2005-01-13 18:00:00,8
2005-01-14 00:00:00,9
2005-01-14 06:00:00,9
2005-01-14 12:00:00,9
2005-01-14 18:00:00,9
2005-01-17 00:00:00,10
2005-01-17 06:00:00,10
2005-01-17 12:00:00,10
2005-01-17 18:00:00,10
2005-01-18 00:00:00,11
2005-01-18 06:00:00,11
2005-01-18 12:00:00,11
2005-01-18 18:00:00,11
2005-01-19 00:00:00,12
2005-01-19 06:00:00,12
2005-01-19 12:00:00,12
2005-01-19 18:00:00,12
2005-01-20 00:00:00,13
2005-01-20 06:00:00,13
2005-01-20 12:00:00,13
2005-01-20 18:00:00,13
2005-01-21 00:00:00,14
2005-01-21 06:00:00,14
2005-01-21 12:00:00,14
2005-01-21 18:00:00,14
2005-01-24 00:00:00,15
2005-01-24 06:00:00,15
2005-01-24 12:00:00,15
2005-01-24 18:00:00,15
2005-01-25 00:00:00,16
2005-01-25 06:00:00,16
2005-01-25 12:00:00,16
2005-01-25 18:00:00,16
2005-01-26 00:00:00,17
2005-01-26 06:00:00,17
2005-01-26 12:00:00,17
2005-01-26 18:00:00,17
2005-01-27 00:00:00,18
2005-01-27 06:00:00,18
2005-01-27 12:00:00,18
2005-01-27 18:00:00,18
2005-01-28 00:00:00,19
2005-01-28 06:00:00,19
2005-01-28 12:00:00,19
2005-01-28 18:00:00,19
2005-01-31 00:00:00,20
2005-01-31 06:00:00,20
2005-01-31 12:00:00,20
2005-01-31 18:00:00,20
2005-02-01 00:00:00,21
2005-02-01 06:00:00,21
2005-02-01 12:00:00,21
2005-02-01 18:00:00,21
2005-02-02 00:00:00,22
2005-02-02 06:00:00,22
2005-02-02 12:00:00,22
2005-02-02 18:00:00,22
2005-02-03 00:00:00,23
2005-02-03 06:00:00,23
2005-02-03 12:00:00,23
2005-02-03 18:00:00,23
2005-02-04 00:00:00,24
2005-02-04 06:00:00,24
2005-02-04 12:00:00,24
2005-02-04 18:00:00,24
2005-02-07 00:00:00,25
2005-02-07 06:00:00,25
2005-02-07 12:00:00,25
2005-02-07 18:00:00,25
2005-02-08 00:00:00,26
2005-02-08 06:00:00,26
2005-02-08 12:00:00,26
2005-02-08 18:00:00,26
2005-02-09 00:00:00,27
2005-02-09 06:00:00,27
2005-02-09 12:00:00,27
2005-02-09 18:00:00,27
2005-02-10 00:00:00,28
2005-02-10 06:00:00,28
2005-02-10 12:00:00,28
2005-02-10 18:00:00,28
2005-02-11 00:00:00,29
2005-02-11 06:00:00,29
2005-02-11 12:00:00,29
2005-02-11 18:00:00,29
2005-02-14 00:00:00,30
2005-02-14 06:00:00,30
2005-02-14 12:00:00,30
2005-02-14 18:00:00,30
2005-02-15 00:00:00,31
2005-02-15 06:00:00,31
2005-02-15 12:00:00,31
2005-02-15 18:00:00,31
2005-02-16 00:00:00,32
2005-02-16 06:00:00,32
2005-02-16 12:00:00,32
2005-02-16 18:00:00,32
2005-02-17 00:00:00,33
2005-02-17 06:00:00,33
2005-02-17 12:00:00,33
2005-02-17 18:00:00,33
2005-02-18 00:00:00,34
2005-02-18 06:00:00,34
2005-02-18 12:00:00,34
2005-02-18 18:00:00,34
2005-02-21 00:00:00,35
2005-02-21 06:00:00,35
2005-02-21 12:00:00,35
2005-02-21 18:00:00,35
2005-02-22 00:00:00,36
2005-02-22 06:00:00,36
2005-02-22 12:00:00,36
2005-02-22 18:00:00,36
2005-02-23 00:00:00,37
2005-02-23 06:00:00,37
2005-02-23 12:00:00,37
2005-02-23 18:00:00,37
2005-02-24 00:00:00,38
2005-02-24 06:00:00,38
2005-02-24 12:00:00,38
2005-02-24 18:00:00,38
2005-02-25 00:00:00,39
2005-02-25 06:00:00,39
2005-02-25 12:00:00,39
2005-02-25 18:00:00,39
2005-02-28 00:00:00,40
2005-02-28 06:00:00,40
2005-02-28 12:00:00,40
